epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7507,0.90735,1.53566,1.04395,0.5985,0.33223,0.29782,0.21995,0.80338,1.00772,0.9927,0.000413996,0.000413996,0.000413996
2,123.175,0.82781,0.82579,0.99624,0.625,0.34963,0.33682,0.23741,0.77356,0.7512,0.97367,0.000803251,0.000803251,0.000803251
3,188.51,0.81171,0.7634,0.9863,0.44141,0.41106,0.36458,0.24785,0.75791,0.76772,0.97079,0.00116501,0.00116501,0.00116501
4,256.495,0.79005,0.7079,0.97673,0.48881,0.41944,0.40978,0.28135,0.75356,0.66389,0.9651,0.00112625,0.00112625,0.00112625
5,324.239,0.78369,0.67615,0.97473,0.56107,0.43245,0.41088,0.28421,0.76391,0.63767,0.97118,0.001085,0.001085,0.001085
6,394.819,0.77584,0.64836,0.96928,0.53977,0.43719,0.43507,0.30111,0.72533,0.60841,0.95012,0.00104375,0.00104375,0.00104375
7,465.522,0.76327,0.62937,0.96446,0.53675,0.44176,0.44355,0.30403,0.70608,0.59704,0.94298,0.0010025,0.0010025,0.0010025
8,539.614,0.75409,0.62089,0.96535,0.52846,0.45502,0.42997,0.30214,0.69732,0.59777,0.94058,0.00096125,0.00096125,0.00096125
9,610.436,0.74143,0.59034,0.95808,0.55108,0.46347,0.46553,0.32936,0.68406,0.54498,0.92914,0.00092,0.00092,0.00092
10,677.833,0.72673,0.56994,0.94988,0.5678,0.46626,0.46297,0.32725,0.68728,0.53523,0.92949,0.00087875,0.00087875,0.00087875
11,744.415,0.73005,0.57207,0.95319,0.62298,0.48759,0.49671,0.34729,0.67644,0.53697,0.92069,0.0008375,0.0008375,0.0008375
12,812.667,0.73048,0.55933,0.94537,0.57986,0.49358,0.49986,0.34727,0.66446,0.51417,0.92067,0.00079625,0.00079625,0.00079625
13,883.136,0.7187,0.55158,0.94771,0.57487,0.50233,0.5088,0.35215,0.6694,0.52315,0.91935,0.000755,0.000755,0.000755
14,953.042,0.71587,0.54811,0.94646,0.57898,0.51016,0.51616,0.35913,0.66346,0.51311,0.91592,0.00071375,0.00071375,0.00071375
15,1027.85,0.70792,0.53588,0.93952,0.62882,0.50164,0.52534,0.36998,0.65042,0.48492,0.91244,0.0006725,0.0006725,0.0006725
16,1098.24,0.69721,0.52689,0.93735,0.60922,0.5123,0.52757,0.36716,0.63905,0.47886,0.90839,0.00063125,0.00063125,0.00063125
17,1164.48,0.70405,0.52083,0.93684,0.60145,0.52592,0.53915,0.37151,0.64617,0.48741,0.91168,0.00059,0.00059,0.00059
18,1230.73,0.68826,0.51173,0.9333,0.64272,0.51413,0.53797,0.38338,0.64106,0.46635,0.90651,0.00054875,0.00054875,0.00054875
19,1296.3,0.6908,0.50857,0.93193,0.59158,0.55762,0.55536,0.39073,0.64239,0.46631,0.90414,0.0005075,0.0005075,0.0005075
20,1365.17,0.68346,0.49762,0.92691,0.62726,0.52809,0.55119,0.38245,0.62778,0.46011,0.90078,0.00046625,0.00046625,0.00046625
21,1461.06,0.68046,0.50243,0.93136,0.5986,0.5437,0.552,0.38889,0.642,0.47122,0.90485,0.000425,0.000425,0.000425
22,1527.63,0.66955,0.4828,0.92409,0.65751,0.56824,0.58589,0.40505,0.63023,0.45065,0.89911,0.00038375,0.00038375,0.00038375
23,1594.15,0.66091,0.47623,0.92054,0.64528,0.5532,0.58569,0.41267,0.62258,0.44396,0.89728,0.0003425,0.0003425,0.0003425
24,1660.84,0.65792,0.46776,0.91597,0.66752,0.56893,0.59831,0.42301,0.61749,0.43973,0.89459,0.00030125,0.00030125,0.00030125
25,1726.44,0.65145,0.45774,0.91307,0.67025,0.55964,0.60258,0.43002,0.61359,0.4308,0.89096,0.00026,0.00026,0.00026
26,1791.62,0.64415,0.44886,0.90834,0.67029,0.57854,0.60838,0.43404,0.60675,0.42457,0.8887,0.00021875,0.00021875,0.00021875
27,1866.1,0.63857,0.44403,0.90725,0.68359,0.57404,0.61808,0.44479,0.59906,0.41426,0.8847,0.0001775,0.0001775,0.0001775
28,1932.69,0.63769,0.43675,0.90744,0.66485,0.59442,0.62756,0.45145,0.59638,0.40977,0.88246,0.00013625,0.00013625,0.00013625
29,1997.4,0.62513,0.42856,0.90204,0.67915,0.5956,0.63221,0.45624,0.59086,0.4039,0.88161,9.5e-05,9.5e-05,9.5e-05
30,2061.93,0.62322,0.42632,0.90277,0.69979,0.58622,0.63599,0.46193,0.58681,0.40077,0.88078,5.375e-05,5.375e-05,5.375e-05
