epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,425.41,0.83624,1.70195,1.09424,1.00486,0.58673,0.42536,0.38699,0.26096,0.57623,0.40958,0.3623,0.21376,0.77024,1.90939,0.80768,0.97465,0.000415331,0.000415331,0.000415331
2,968.417,0.80569,1.57006,0.79178,0.98547,0.49868,0.41221,0.39204,0.26073,0.48909,0.40097,0.37367,0.22792,0.77188,1.66314,0.82357,0.98139,0.000823761,0.000823761,0.000823761
3,1487.91,0.80153,1.56318,0.77744,0.98582,0.47116,0.43051,0.38888,0.25604,0.4503,0.40224,0.35712,0.21816,0.77384,1.66702,0.81654,0.97855,0.00122394,0.00122394,0.00122394
4,3153.27,0.79219,1.52599,0.76043,0.97974,0.431,0.45585,0.39968,0.26426,0.41317,0.43431,0.3635,0.21648,0.75105,1.63127,0.75598,0.96672,0.00121287,0.00121287,0.00121287
5,3879.24,0.76897,1.46548,0.72195,0.97046,0.48105,0.48041,0.44666,0.29736,0.46314,0.46625,0.41798,0.25696,0.7227,1.43075,0.70483,0.95292,0.0012005,0.0012005,0.0012005
6,4658.11,0.75723,1.43574,0.70508,0.96385,0.48193,0.49449,0.46304,0.30894,0.46555,0.47994,0.44148,0.26951,0.71673,1.39947,0.72444,0.94478,0.00118812,0.00118812,0.00118812
7,5574.54,0.74296,1.39025,0.68406,0.95651,0.506,0.52015,0.4908,0.3243,0.48528,0.49797,0.46059,0.27365,0.69948,1.39915,0.67167,0.93804,0.00117575,0.00117575,0.00117575
8,6416.17,0.73781,1.3864,0.66548,0.95339,0.572,0.54079,0.5262,0.35435,0.55305,0.52897,0.49898,0.30715,0.67766,1.30609,0.64405,0.92639,0.00116337,0.00116337,0.00116337
9,7475.61,0.72664,1.35146,0.66317,0.94871,0.5529,0.53016,0.5187,0.34711,0.53472,0.51559,0.49662,0.3069,0.6816,1.32454,0.6489,0.92895,0.001151,0.001151,0.001151
10,8550.58,0.71969,1.33874,0.65248,0.94617,0.56292,0.52556,0.52273,0.35862,0.55518,0.51162,0.49534,0.30771,0.6693,1.28286,0.64239,0.9207,0.00113863,0.00113863,0.00113863
11,9257.85,0.71647,1.32882,0.64793,0.94455,0.54365,0.54311,0.5287,0.3589,0.56619,0.50655,0.50554,0.31325,0.67044,1.29709,0.6445,0.92343,0.00112625,0.00112625,0.00112625
12,10107.9,0.714,1.30738,0.63955,0.94312,0.59189,0.55887,0.55727,0.37452,0.56434,0.53744,0.5187,0.31868,0.66625,1.25049,0.60969,0.91712,0.00111388,0.00111388,0.00111388
13,10793.8,0.70738,1.28095,0.62963,0.93788,0.58366,0.56833,0.55796,0.38502,0.58288,0.55307,0.53501,0.32594,0.65053,1.236,0.61687,0.91226,0.0011015,0.0011015,0.0011015
