epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.44926,1.93393,4.28122,6.52034,1.46219,0.25364,0.01353,0.0049,0.00303,0.29421,0.00595,0.00447,0.00313,2.12859,3.58117,5.5749,1.7482,0,0,0
2,2.84201,2.16514,4.18324,6.28827,1.72454,0.3374,0.00595,0.00473,0.00305,0.33784,0.00595,0.00431,0.00317,2.1302,3.59385,5.58462,1.74759,3.55233e-06,3.55233e-06,3.55233e-06
3,4.21304,1.9035,3.90125,6.0103,1.60058,0.33836,0.00595,0.00461,0.00296,0.38723,0.00595,0.00419,0.00307,2.12765,3.58929,5.58731,1.74424,7.06931e-06,7.06931e-06,7.06931e-06
4,5.46693,2.02085,4.50146,6.75241,1.53808,0.04508,0.02543,0.0061,0.00418,0.0443,0.01786,0.00574,0.00447,2.12846,3.5858,5.58843,1.74613,1.0551e-05,1.0551e-05,1.0551e-05
5,6.75374,2.11274,4.00197,5.98354,1.66039,0.00482,0.03139,0.00598,0.00408,0.00456,0.02381,0.00561,0.00436,2.12948,3.58748,5.5974,1.74165,1.39973e-05,1.39973e-05,1.39973e-05
6,8.00511,2.12979,4.52178,6.98798,1.61026,0.00403,0.03139,0.00589,0.00405,0.00383,0.02381,0.00553,0.00414,2.13014,3.57689,5.6114,1.73545,1.74082e-05,1.74082e-05,1.74082e-05
7,9.32139,1.95615,3.8596,6.20347,1.51524,0.00848,0.03734,0.00748,0.00579,0.00825,0.02976,0.00668,0.00594,1.85534,3.31946,5.63406,1.57465,2.07838e-05,2.07838e-05,2.07838e-05
8,10.8544,1.71667,3.18416,6.05639,1.34386,0.38409,0.01353,0.00581,0.00367,0.38063,0.00595,0.00294,0.00242,1.68201,3.06001,5.56335,1.45695,2.41241e-05,2.41241e-05,2.41241e-05
9,12.4347,1.6309,2.97541,5.30774,1.29902,0.0136,0.05682,0.01286,0.00926,0.01257,0.04924,0.01193,0.009,1.57541,2.77505,5.33172,1.39434,2.7429e-05,2.7429e-05,2.7429e-05
10,14.076,1.54886,2.87135,4.92267,1.29178,0.02134,0.05979,0.02017,0.0149,0.02078,0.05979,0.02059,0.01604,1.45674,2.52458,5.4167,1.2887,3.06986e-05,3.06986e-05,3.06986e-05
11,15.753,1.44087,2.49974,4.55189,1.1247,0.14639,0.0717,0.02616,0.02011,0.15058,0.0717,0.02602,0.02062,1.38187,2.31267,5.46417,1.24153,3.39329e-05,3.39329e-05,3.39329e-05
12,17.4937,1.43835,2.26146,4.44321,1.17987,0.06192,0.0928,0.04975,0.03232,0.31888,0.06115,0.02499,0.01994,1.32968,2.13549,5.36086,1.20693,3.71317e-05,3.71317e-05,3.71317e-05
13,19.3093,1.30748,2.14924,4.10389,1.12575,0.05821,0.12716,0.07328,0.05204,0.0399,0.08739,0.04566,0.03421,1.27684,1.99905,5.19978,1.17539,4.02953e-05,4.02953e-05,4.02953e-05
14,21.1016,1.25545,1.99489,3.92551,1.1632,0.51377,0.10471,0.07087,0.05002,0.424,0.07089,0.0393,0.02839,1.25623,1.91574,5.00296,1.15745,4.34235e-05,4.34235e-05,4.34235e-05
15,22.8921,1.20515,1.95204,3.62549,1.09218,0.44681,0.10601,0.0938,0.06818,0.41963,0.06638,0.06224,0.04443,1.27655,1.86873,4.74544,1.16544,4.65164e-05,4.65164e-05,4.65164e-05
16,24.6126,1.28824,1.85319,3.42758,1.16017,0.31836,0.11824,0.11718,0.08325,0.24823,0.11281,0.07946,0.05608,1.27762,1.77847,4.75975,1.14042,4.95739e-05,4.95739e-05,4.95739e-05
17,26.3484,1.26263,1.761,3.13739,1.12038,0.30837,0.21394,0.14832,0.10603,0.28883,0.16164,0.10587,0.07424,1.26472,1.71672,4.96543,1.12586,5.25961e-05,5.25961e-05,5.25961e-05
18,28.103,1.18361,1.70675,2.93324,0.97639,0.30837,0.21394,0.14832,0.10603,0.28883,0.16164,0.10587,0.07424,1.26472,1.71672,4.96543,1.12586,5.55829e-05,5.55829e-05,5.55829e-05
19,29.8656,1.42551,1.86936,3.2782,1.0475,0.2871,0.24696,0.1571,0.11072,0.26028,0.19426,0.10815,0.07146,1.26653,1.65644,4.55595,1.11788,5.85344e-05,5.85344e-05,5.85344e-05
20,31.6217,1.1522,1.59105,2.66524,1.04019,0.2871,0.24696,0.1571,0.11072,0.26028,0.19426,0.10815,0.07146,1.26653,1.65644,4.55595,1.11788,6.14506e-05,6.14506e-05,6.14506e-05
21,33.4586,1.16647,1.56936,2.76942,0.97879,0.39398,0.22348,0.1867,0.1343,0.3668,0.17018,0.13135,0.09149,1.21875,1.64808,4.11153,1.07256,6.43314e-05,6.43314e-05,6.43314e-05
22,35.1874,1.13719,1.71085,2.60625,0.99329,0.39398,0.22348,0.1867,0.1343,0.3668,0.17018,0.13135,0.09149,1.21875,1.64808,4.11153,1.07256,6.71769e-05,6.71769e-05,6.71769e-05
23,36.9707,1.12727,1.68643,2.61718,1.05207,0.43726,0.26287,0.20572,0.15273,0.40134,0.19567,0.14461,0.10277,1.1562,1.51688,3.72832,1.03043,6.9987e-05,6.9987e-05,6.9987e-05
24,38.7337,1.11822,1.44809,2.40453,0.97885,0.43726,0.26287,0.20572,0.15273,0.40134,0.19567,0.14461,0.10277,1.1562,1.51688,3.72832,1.03043,7.27618e-05,7.27618e-05,7.27618e-05
25,40.4992,1.0951,1.41528,2.50484,1.03688,0.47473,0.26088,0.23127,0.17676,0.43299,0.19405,0.1634,0.12033,1.08738,1.42474,3.39658,1.00376,7.55012e-05,7.55012e-05,7.55012e-05
26,42.236,1.14947,1.61438,2.37488,0.99761,0.47473,0.26088,0.23127,0.17676,0.43299,0.19405,0.1634,0.12033,1.08738,1.42474,3.39658,1.00376,7.82053e-05,7.82053e-05,7.82053e-05
27,43.9785,1.17231,1.49194,2.40689,0.96738,0.5629,0.2553,0.2867,0.21621,0.53016,0.1855,0.22047,0.15347,1.07007,1.32466,3.06123,0.98861,8.08741e-05,8.08741e-05,8.08741e-05
28,45.6915,1.14885,1.55013,2.36056,1.02632,0.5629,0.2553,0.2867,0.21621,0.53016,0.1855,0.22047,0.15347,1.07007,1.32466,3.06123,0.98861,8.35075e-05,8.35075e-05,8.35075e-05
29,47.4222,1.09555,1.39603,2.15537,1.00629,0.51401,0.29941,0.31279,0.23832,0.46565,0.21607,0.24057,0.17235,1.04643,1.3105,2.76016,0.97933,8.61055e-05,8.61055e-05,8.61055e-05
30,49.1393,1.0734,1.44824,2.18452,1.01151,0.51401,0.29941,0.31279,0.23832,0.46565,0.21607,0.24057,0.17235,1.04643,1.3105,2.76016,0.97933,8.86683e-05,8.86683e-05,8.86683e-05
31,50.899,1.073,1.43129,2.17917,0.93572,0.54819,0.299,0.35891,0.27364,0.39353,0.33611,0.28111,0.20806,1.0282,1.31945,2.52282,0.97156,9.11957e-05,9.11957e-05,9.11957e-05
32,52.6496,1.06697,1.40069,2.01058,0.93285,0.54819,0.299,0.35891,0.27364,0.39353,0.33611,0.28111,0.20806,1.0282,1.31945,2.52282,0.97156,9.36877e-05,9.36877e-05,9.36877e-05
33,54.3954,1.0171,1.33465,1.99025,0.94059,0.50482,0.37381,0.36951,0.28299,0.45893,0.29392,0.29594,0.21479,0.99771,1.28798,2.45461,0.95834,9.61444e-05,9.61444e-05,9.61444e-05
34,56.0891,1.04698,1.35546,1.91676,0.93507,0.50482,0.37381,0.36951,0.28299,0.45893,0.29392,0.29594,0.21479,0.99771,1.28798,2.45461,0.95834,9.85657e-05,9.85657e-05,9.85657e-05
35,57.7458,1.01537,1.30965,1.92771,0.96463,0.40391,0.42614,0.4026,0.30783,0.43584,0.3165,0.3311,0.2378,0.98006,1.24815,2.26208,0.95191,0.000100952,0.000100952,0.000100952
36,59.3786,1.02859,1.29005,1.8268,0.92233,0.40391,0.42614,0.4026,0.30783,0.43584,0.3165,0.3311,0.2378,0.98006,1.24815,2.26208,0.95191,0.000103302,0.000103302,0.000103302
37,61.0485,0.94769,1.14085,1.70838,0.92922,0.47082,0.42292,0.43281,0.33076,0.41373,0.35785,0.3604,0.24614,0.9805,1.22035,1.97584,0.94734,0.000105618,0.000105618,0.000105618
38,62.69,0.93579,1.1533,1.58299,0.96357,0.47082,0.42292,0.43281,0.33076,0.41373,0.35785,0.3604,0.24614,0.9805,1.22035,1.97584,0.94734,0.000107898,0.000107898,0.000107898
39,64.3654,1.08429,1.37848,1.88098,0.97186,0.54918,0.45114,0.46056,0.35183,0.49021,0.38181,0.38271,0.26009,0.96974,1.17459,1.8487,0.94445,0.000110142,0.000110142,0.000110142
40,65.9802,1.03051,1.22981,1.8714,0.92619,0.54918,0.45114,0.46056,0.35183,0.49021,0.38181,0.38271,0.26009,0.96974,1.17459,1.8487,0.94445,0.000112352,0.000112352,0.000112352
41,68.4824,0.99927,1.19981,1.74073,1.00829,0.59365,0.44861,0.48398,0.36772,0.52632,0.37206,0.40328,0.27865,0.9482,1.12955,1.70019,0.93836,0.000114526,0.000114526,0.000114526
42,70.8116,0.88136,1.21296,1.68942,0.98378,0.59365,0.44861,0.48398,0.36772,0.52632,0.37206,0.40328,0.27865,0.9482,1.12955,1.70019,0.93836,0.000116664,0.000116664,0.000116664
43,73.134,1.05193,1.39447,1.78273,0.92619,0.6961,0.4016,0.50165,0.39106,0.50282,0.38723,0.42238,0.3028,0.92343,1.09673,1.59739,0.92944,0.000118767,0.000118767,0.000118767
44,75.6942,0.96078,1.28681,1.6933,0.89093,0.6961,0.4016,0.50165,0.39106,0.50282,0.38723,0.42238,0.3028,0.92343,1.09673,1.59739,0.92944,0.000120835,0.000120835,0.000120835
45,79.093,0.99237,1.18314,1.49535,1.01232,0.68207,0.40372,0.50473,0.39451,0.62266,0.33391,0.43179,0.30971,0.90127,1.08864,1.5082,0.92298,0.000122868,0.000122868,0.000122868
